"Timestamp","Q1.What year of uni are you in?","Q2.Do you study a single or double degree?","Q3.Do you use public or private transport?","Q4.How long does it take to come to uni? (Enter the number of minutes, as a number only.)","Q5.Hours on facebook per week?(Enter a number only)","Q6.Hours on Twitter? (Enter a number only)","Q7.What is your favourite sport?","Q8.If you could have a super power what would it be?","Q9.What pets do you have?","Q10.Which day you need to attend the class?","Q11.I like cheese.","Q12.Have you been to the Australian Open?","Q13.Would you rather your shirts be always two sizes too big or one size too small?","Q14.How many books did you read last year?"
"2019/08/09 2:16:55 pm GMT+10","Other","Single","Private","30","15","0","Badminton","Teleportation","dog;reptile;goldfish","Monday;Tuesday;Wednesday;Friday","TRUE","Yes","B.one size too small","B. 1-5"
"2019/08/09 2:54:31 pm GMT+10","1","Single","Public","30","7","0","N/A","N/A","none","Monday;Tuesday;Friday","TRUE","No","C.neither of these","B. 1-5"
"2019/08/09 2:58:08 pm GMT+10","2","Double","Private","75","0","1","Gym","Flying","dog","Tuesday;Thursday;Friday","TRUE","No","C.neither of these","C. 6-10"
"2019/08/09 3:05:17 pm GMT+10","3","Single","Public","20","15","","Badminton","teleporting","none","Wednesday;Thursday;Friday","TRUE","No","A.two sizes too big","B. 1-5"
"2019/08/09 3:33:24 pm GMT+10","4","Double","Public","0","1","0","Swimming","Flying","none","Monday;Tuesday;Thursday;Friday","TRUE","No","C.neither of these","C. 6-10"
"2019/08/14 2:44:01 pm GMT+10","2","Single","Public","60","20","20","Badminton","Mind reading","none","Wednesday;Friday","FALSE","No","A.two sizes too big","C. 6-10"
"2019/08/14 2:44:12 pm GMT+10","2","Single","Public","60","20","20","Badminton","Mind reading","none","Wednesday;Friday","FALSE","No","A.two sizes too big","C. 6-10"
"2019/08/15 11:41:49 am GMT+10","3","Double","Public","40","4","0","Skiing","Teleportation","none","Tuesday;Wednesday;Thursday;Friday","FALSE","No","A.two sizes too big","C. 6-10"
"2019/08/15 12:05:06 pm GMT+10","4","Double","Public","65","5","0","Tennis","Super strength","none","Monday;Wednesday;Thursday","TRUE","No","A.two sizes too big","C. 6-10"
"2019/08/15 12:05:18 pm GMT+10","3","Double","Public","45","0.5","0","Running","To be invisible","dog;cat;rabbit","Monday;Tuesday;Wednesday;Thursday","TRUE","Yes","B.one size too small","B. 1-5"
"2019/08/15 3:58:08 pm GMT+10","3","Single","Public","45","1","0","climbing","time","none","Monday;Tuesday;Wednesday;Thursday","FALSE","No","C.neither of these","B. 1-5"
"2019/08/15 11:47:24 pm GMT+10","3","Single","Public","15","0","0","swimming","rich","none","Monday;Wednesday;Thursday","TRUE","No","C.neither of these","B. 1-5"
