Year,ACT_Business,ACT_Holiday,ACT_Other,ACT_Visiting,NSW_Business,NSW_Holiday,NSW_Other,NSW_Visiting,NT_Business,NT_Holiday,NT_Other,NT_Visiting,QLD_Business,QLD_Holiday,QLD_Other,QLD_Visiting,SA_Business,SA_Holiday,SA_Other,SA_Visiting,TAS_Business,TAS_Holiday,TAS_Other,TAS_Visiting,VIC_Business,VIC_Holiday,VIC_Other,VIC_Visiting,WA_Business,WA_Holiday,WA_Other,WA_Visiting
1998,481.3948846,604.140999,94.55738149999999,672.7617353,5280.5870482,13058.4019834,1063.8938752,9832.9438547,361.4952252,697.6069221,51.0375125,161.3849916,3268.0425065,7826.2215066,525.2665196,5186.4674107,1014.466419,2796.4578100999997,252.9348033,1732.1183972000001,439.4478258,1616.3125683,64.8539737,636.7793394,3140.4949301,9363.5920858,521.8960452,6771.362472,1488.3549479,3060.9781916,246.041828,1850.0517433
1999,592.3951572,628.0265662,80.844788,679.211085,5410.6059231,12480.985494,1075.7501178,9530.9181006,327.5185609,750.5030233,67.4558283,155.3665493,3880.9353921,8652.3977314,824.9727546,5166.5358048,1048.2155871,2801.1531369,230.5215859,1767.2990309,522.594126,1399.6590711000001,97.9499075,547.9914489,2792.2567023,8697.806794,597.0148873,5763.9902299000005,1365.4632279,3308.6833077,345.76298909999997,1897.0599038
2000,613.6926217,581.8624057000001,148.550591,747.0918229,5227.0859148,12598.9150733,1126.0995069,8938.7920845,441.01440990000003,840.0986156,57.3937537,121.83120890000001,3500.0146226,8460.2393937,723.9649715,5282.7587487,1424.851746,2846.6003269,310.1696566,1761.820536,427.9953882,1422.5780759,84.25208789999999,552.575808,3384.5844131,8650.8293138,725.3543807,6217.5626923,1305.7450923,3197.5249293,352.7510701,1876.4108191
2001,519.6329843999999,710.0094104,81.4831898,777.7680113,5675.4722355,12003.0405216,1126.8615873,9393.6707054,418.641758,691.4351705,86.8820702,151.0296447,3385.150771,8513.7974173,941.8439263,5408.3163845,1094.0828045,2666.3861194,300.85423579999997,1808.5585214,383.0309106,1410.1000729,95.8742727,520.1705207,3089.7098542,8973.1861424,782.4310092,6161.2706922,1757.7528038,3021.9555296,311.2895848,1990.6136048
2002,625.8643838,602.7649721,102.5340326,642.6326188,5618.5644331,12440.4587594,1156.7083183,10290.6740987,547.4386582,679.7604248,58.6266492,186.2167028,3470.798494,8692.4656186,815.5106526,5703.8699211,1268.4711082000001,2605.057877,262.3732713,1869.5113254999999,393.1750249,1473.3040423,91.9734004,500.3439859,3027.958967,8589.8048512,757.2254781,6652.683251,1584.6774631,3075.5037218,431.7852651,2168.2648384
2003,485.5537236,552.7712671,107.0438062,799.3072001,5344.4058754,11955.7607305,989.9926418,10319.3784814,299.2069882,658.1381891999999,78.7146159,175.4974824,2904.402923,8562.985306,646.1650754,6326.2479931,1249.8565717,2433.4933683,279.816419,1868.7568365,461.6276883,1506.5493677,73.8840623,715.8808126,3111.8367024,8558.9542844,570.1692251000001,7033.1312421,1411.7686845,3048.2397186,336.6923135,2176.2502133
2004,499.28197120000004,493.6769628,148.8886576,739.2557949,4903.2263353,11643.0200356,916.4462302,10365.8316685,359.2416514,751.7930395,29.2998833,193.6104043,3404.6235604,8480.0154155,795.4003794,6447.773651,1254.1069628,2662.7475637000002,309.6595171,2050.5058714,564.7862323,1664.2830455,77.4805807,758.0992851999999,3102.5037234,8394.1763974,709.3954678,6870.0554128,1374.2003363000001,3126.0383116,342.2409468,2176.4662917
2005,639.4349049,503.5075496,85.8765747,758.466904,4420.6484046000005,10936.8527589,1109.1456827,9079.8523221,373.6307208,754.5904805,63.1351183,201.5781091,3309.2413769,8048.4927477,861.1419896,6085.6490848,944.5094687,2420.8162013,302.3104422,1690.7787236,424.274159,1463.5712829,80.8701702,642.0408915,2875.195267,7968.1144081,747.9900547,6004.1954135,1333.4110891,2736.8334194,317.83207550000003,2030.6740843
2006,547.98206,526.45166,91.177074,727.177893,4347.148562,11358.774392,1000.191432,9855.476803,343.532076,716.124715,41.392323,195.029117,3427.643072,8687.836299,717.049142,5996.844865,1024.296061,2700.6230610000002,304.56559599999997,1748.683722,391.292508,1605.338502,124.554473,602.222116,2837.40822,8519.61258,735.011888,6521.752822,1529.352754,3103.146578,355.68093,2182.422884
2007,639.1520682,482.412362,105.1641461,728.5439685,4377.9473695,11275.5177105,1089.2164531,9131.6861761,407.8364524,854.8867055,46.9980288,181.0360288,3836.3586944,8852.7005056,805.3015699,6429.7975006999995,1131.0970301,2665.553683,292.9045326,1830.7518647,411.1633549,1702.5279394,92.1149183,616.0566113,2989.1152865,8664.7234565,680.9604121,6263.3260264,1562.4509238,3102.2070187,353.5594986,1960.27185
2008,588.3757444,554.0118116,132.0846432,681.7610815,4428.4011504,11618.7833382,925.8089334,8958.6865813,415.7706783,737.494128,40.0729974,174.82566119999998,3371.4334291,8657.5819059,680.3338527,5970.856068,1087.3543144,2517.4825674,234.1059658,1746.477173,439.6138249,1486.0734687,71.5428767,560.3515231,2760.789516,8807.8067295,578.6256474,6050.8756933,1392.7054699,2945.0600615,283.6873414,1810.4421634999999
2009,492.9559648,527.7586518,97.3020428,609.2529141,4060.6048348,11032.8898918,990.5688237,8440.5633622,395.9244092,756.4093981,49.093753,159.6612948,2947.174321,8375.3302514,726.0579652,5567.3749482,1004.3777215,2505.8893145,281.7655147,1682.325132,355.1148015,1553.6682683,64.7312161,583.7316136,2762.1310141,8189.4778456,712.9162862000001,5760.0394547,1161.5819919,2543.6181919,275.33301290000003,1780.8997739
2010,538.2654216,769.391121,118.38617119999999,654.6232913,4044.9725153,11493.9758225,1153.8637709,8858.5252335,349.7758582,791.0260129,84.2806083,156.848307,3706.9977629,8261.9206508,963.4231071,5783.5701815,910.1687069,2424.808887,293.1543735,1521.2191317,368.0723755,1538.6566631,82.5554328,489.8588416,2742.7158929,8289.5380249,665.5277775,5745.6350697,1247.2281394,2432.8238573,335.4838193,1515.1466599999999
2011,544.9438422000001,519.7489942,117.2551307,617.4395517,4797.2507904,11261.4539285,1185.8071259,9330.3306828,312.6688211,622.4623455,77.9501974,191.8588184,3693.3173875,7993.593479,905.4114736,6121.1797831,1050.0314561,2569.3448211,325.8422958,1670.0056882000001,391.3267093,1367.0973056999999,83.0640224,563.5944678,3041.2061527,8801.2997584,729.6129843,6149.6143843,1393.3030557,2658.7954879999998,363.02250399999997,1762.206367
2012,618.1387293,462.4398744,98.25264279999999,758.4780448,4399.3945534,11308.6474808,1047.6618498,9962.3754164,344.9870804,627.9361011999999,39.2007576,203.504452,3421.5724092,8428.3711822,1056.198814,6742.9997478,1097.4881597,2514.698548,326.7163269,1640.2570864,402.9882338,1443.6423596,94.107851,606.2145981,3040.3064249999998,8894.02454,714.1374658,6453.0581639,1553.2835216,2778.9403643,303.2475182,2018.5221236
2013,583.1984817,642.0414234,103.65994,707.2828182000001,4579.8992742,11784.4997483,1233.3957934,9926.8792143,345.0001132,594.9794892,22.6937784,147.9486779,3484.2627055,8360.4376465,908.0567298,6512.8329502,968.7148157,2569.6715192,384.264115,1725.0419716,352.1367614,1544.0555079,86.6225907,635.0043617,3052.6878547,8948.7235411,702.2371838,6745.1560899,1568.8305481,3033.4326073,363.3598312,2074.65292
2014,684.333993,667.6498753000001,147.8914106,760.7110230000001,4982.5187864,11853.8673351,1583.0616926999999,9908.0069711,606.4253284,835.9251328,67.231866,284.8602317,4298.0971251,8697.6546297,1139.2583995,7130.2518239,1183.1653123,2669.8634653999998,383.5390016,1854.3126106,452.59781350000003,1680.4226781,117.7954569,699.8807427,3481.0744369,9446.8083857,1105.2800368,7205.4513603,2633.9828754,4084.3978572,572.288108,3011.3506537
